tag,heading
h1,RESULTS OF SCCE
h1,RESULTS OF SCCE & SCIP R16 REGULATION
h1,"RESULTS OF  R07, R09, R13, R15 B.TECH, B.Pham AND R07, R09, R13 MBA, MCA & M.TECH/M.Pharm REGULATION"
